layer,n_pairs,clean_logit_diff,corrupt_logit_diff,patched_logit_diff,mean_recovery,median_recovery
0,22,0.2642826735973358,-1.0385838747024536,-0.7883264422416687,0.12287667393684387,0.06557106971740723
1,22,0.2642826735973358,-1.0385838747024536,-0.7641991972923279,0.07771442085504532,0.061649952083826065
2,22,0.2642826735973358,-1.0385838747024536,-0.7219696640968323,0.14975212514400482,0.13193842768669128
3,22,0.2642826735973358,-1.0385838747024536,-0.6911923885345459,0.2264813482761383,0.1560756117105484
4,22,0.2642826735973358,-1.0385838747024536,-0.7295131087303162,-0.017672056332230568,-0.017419099807739258
5,22,0.2642826735973358,-1.0385838747024536,-0.7634351849555969,-0.7533324956893921,-0.5312179327011108
6,22,0.2642826735973358,-1.0385838747024536,-0.7745807766914368,-1.5199553966522217,-0.7274025678634644
7,22,0.2642826735973358,-1.0385838747024536,-0.7565742135047913,-1.4495798349380493,-0.6916750073432922
8,22,0.2642826735973358,-1.0385838747024536,-0.6572678089141846,-1.2898160219192505,-0.5461884140968323
9,22,0.2642826735973358,-1.0385838747024536,-0.35877230763435364,-1.203156590461731,-0.5285926461219788
10,22,0.2642826735973358,-1.0385838747024536,-0.15350069105625153,-0.8131101131439209,-0.24380148947238922
11,22,0.2642826735973358,-1.0385838747024536,0.2642826735973358,0.9999999403953552,0.9999999403953552
