country,pair_id,correct_capital,false_capital,completion_prompt,split,baseline_total_margin,baseline_avg_token_margin,baseline_prefers_correct,removed_blocks
Afghanistan,balanced_capital_afghanistan_kazakhstan,Kabul,Astana,The capital of Afghanistan is,train,6.006590932607651,-0.24026913940906525,False,balanced_capital_ghana_south_africa;balanced_capital_israel_jordan;balanced_capital_paraguay_bolivia
Argentina,balanced_capital_argentina_chile,Buenos Aires,Santiago,The capital of Argentina is,train,1.1001604829216376,5.134070815343875,True,balanced_capital_ghana_south_africa;balanced_capital_israel_jordan;balanced_capital_paraguay_bolivia
Australia,balanced_capital_australia_new_zealand,Canberra,Wellington,The capital of Australia is,train,2.878046989440918,2.878046989440918,True,balanced_capital_ghana_south_africa;balanced_capital_israel_jordan;balanced_capital_paraguay_bolivia
Austria,balanced_capital_belgium_austria,Vienna,Brussels,The capital of Austria is,train,1.782949447631836,1.782949447631836,True,balanced_capital_ghana_south_africa;balanced_capital_israel_jordan;balanced_capital_paraguay_bolivia
Bangladesh,balanced_capital_bangladesh_sri_lanka,Dhaka,Sri Jayawardenepura Kotte,The capital of Bangladesh is,train,48.05882155895233,3.1750001907348633,True,balanced_capital_ghana_south_africa;balanced_capital_israel_jordan;balanced_capital_paraguay_bolivia
Belgium,balanced_capital_belgium_austria,Brussels,Vienna,The capital of Belgium is,train,2.8982043266296387,2.8982043266296387,True,balanced_capital_ghana_south_africa;balanced_capital_israel_jordan;balanced_capital_paraguay_bolivia
Brazil,balanced_capital_mexico_brazil,Brasilia,Mexico City,The capital of Brazil is,test,-0.264525443315506,-0.132262721657753,False,balanced_capital_ghana_south_africa;balanced_capital_israel_jordan;balanced_capital_paraguay_bolivia
Cambodia,balanced_capital_myanmar_cambodia,Phnom Penh,Naypyidaw,The capital of Cambodia is,test,10.564143598516239,2.6410358996290597,True,balanced_capital_ghana_south_africa;balanced_capital_israel_jordan;balanced_capital_paraguay_bolivia
Canada,balanced_capital_canada_united_states,Ottawa,"Washington, D.C.",The capital of Canada is,train,3.9351513198344037,-5.560868147159151,False,balanced_capital_ghana_south_africa;balanced_capital_israel_jordan;balanced_capital_paraguay_bolivia
Chile,balanced_capital_argentina_chile,Santiago,Buenos Aires,The capital of Chile is,train,3.045363406825345,-2.0896792508719955,False,balanced_capital_ghana_south_africa;balanced_capital_israel_jordan;balanced_capital_paraguay_bolivia
China,balanced_capital_india_china,Beijing,New Delhi,The capital of China is,test,4.296520829200745,-0.6406132578849792,False,balanced_capital_ghana_south_africa;balanced_capital_israel_jordan;balanced_capital_paraguay_bolivia
Colombia,balanced_capital_peru_colombia,Bogota,Lima,The capital of Colombia is,train,1.922819435596466,6.025513797998428,True,balanced_capital_ghana_south_africa;balanced_capital_israel_jordan;balanced_capital_paraguay_bolivia
Costa Rica,balanced_capital_costa_rica_panama,San Jose,Panama City,The capital of Costa Rica is,train,-0.7697433233261108,-0.3848716616630554,False,balanced_capital_ghana_south_africa;balanced_capital_israel_jordan;balanced_capital_paraguay_bolivia
Cuba,balanced_capital_laos_cuba,Havana,Vientiane,The capital of Cuba is,test,4.876081719994545,-3.2042826761802035,False,balanced_capital_ghana_south_africa;balanced_capital_israel_jordan;balanced_capital_paraguay_bolivia
