language,domain,pair_id,statement,label,country,stated_capital,correct_capital,false_capital,correct_total_logprob,false_total_logprob,correct_avg_token_logprob,false_avg_token_logprob,completion_total_margin,completion_avg_token_margin,model_prefers_correct_total,model_prefers_correct_avg_token,correct_completion_tokens,false_completion_tokens,stated_total_logprob,alternative_total_logprob,stated_avg_token_logprob,alternative_avg_token_logprob,completion_total_score,completion_avg_token_score,completion_total_predicted_label,completion_avg_token_predicted_label,knowledge_margin,completion_compatibility_score,completion_predicted_label,knowledge_bin,probe_prob_true,probe_predicted_label,split,probe_layer,seed
en,capital_balanced,balanced_capital_france_germany,The capital of France is Paris.,1,France,Paris,Paris,Berlin,-6.419769287109375,-8.274324417114258,-6.419769287109375,-8.274324417114258,1.8545551300048828,1.8545551300048828,1,1,1,1,-6.419769287109375,-8.274324417114258,-6.419769287109375,-8.274324417114258,1.8545551300048828,1.8545551300048828,1,1,1.8545551300048828,1.8545551300048828,1,low_avg_token_margin,0.9623356,1,train,6,42
en,capital_balanced,balanced_capital_france_germany,The capital of France is Berlin.,0,France,Berlin,Paris,Berlin,-6.419769287109375,-8.274324417114258,-6.419769287109375,-8.274324417114258,1.8545551300048828,1.8545551300048828,1,1,1,1,-8.274324417114258,-6.419769287109375,-8.274324417114258,-6.419769287109375,-1.8545551300048828,-1.8545551300048828,0,0,1.8545551300048828,-1.8545551300048828,0,low_avg_token_margin,0.006534382,0,train,6,42
en,capital_balanced,balanced_capital_france_germany,The capital of Germany is Berlin.,1,Germany,Berlin,Berlin,Paris,-5.19455623626709,-8.42608642578125,-5.19455623626709,-8.42608642578125,3.23153018951416,3.23153018951416,1,1,1,1,-5.19455623626709,-8.42608642578125,-5.19455623626709,-8.42608642578125,3.23153018951416,3.23153018951416,1,1,3.23153018951416,3.23153018951416,1,high_avg_token_margin,0.8554591,1,train,6,42
en,capital_balanced,balanced_capital_france_germany,The capital of Germany is Paris.,0,Germany,Paris,Berlin,Paris,-5.19455623626709,-8.42608642578125,-5.19455623626709,-8.42608642578125,3.23153018951416,3.23153018951416,1,1,1,1,-8.42608642578125,-5.19455623626709,-8.42608642578125,-5.19455623626709,-3.23153018951416,-3.23153018951416,0,0,3.23153018951416,-3.23153018951416,0,high_avg_token_margin,0.15801954,0,train,6,42
en,capital_balanced,balanced_capital_italy_spain,The capital of Italy is Rome.,1,Italy,Rome,Rome,Madrid,-4.182605266571045,-7.91428804397583,-4.182605266571045,-7.91428804397583,3.731682777404785,3.731682777404785,1,1,1,1,-4.182605266571045,-7.91428804397583,-4.182605266571045,-7.91428804397583,3.731682777404785,3.731682777404785,1,1,3.731682777404785,3.731682777404785,1,high_avg_token_margin,0.7476166,1,train,6,42
en,capital_balanced,balanced_capital_italy_spain,The capital of Italy is Madrid.,0,Italy,Madrid,Rome,Madrid,-4.182605266571045,-7.91428804397583,-4.182605266571045,-7.91428804397583,3.731682777404785,3.731682777404785,1,1,1,1,-7.91428804397583,-4.182605266571045,-7.91428804397583,-4.182605266571045,-3.731682777404785,-3.731682777404785,0,0,3.731682777404785,-3.731682777404785,0,high_avg_token_margin,0.2805019,0,train,6,42
en,capital_balanced,balanced_capital_italy_spain,The capital of Spain is Madrid.,1,Spain,Madrid,Madrid,Rome,-4.327969074249268,-6.262038707733154,-4.327969074249268,-6.262038707733154,1.9340696334838867,1.9340696334838867,1,1,1,1,-4.327969074249268,-6.262038707733154,-4.327969074249268,-6.262038707733154,1.9340696334838867,1.9340696334838867,1,1,1.9340696334838867,1.9340696334838867,1,low_avg_token_margin,0.89965075,1,train,6,42
en,capital_balanced,balanced_capital_italy_spain,The capital of Spain is Rome.,0,Spain,Rome,Madrid,Rome,-4.327969074249268,-6.262038707733154,-4.327969074249268,-6.262038707733154,1.9340696334838867,1.9340696334838867,1,1,1,1,-6.262038707733154,-4.327969074249268,-6.262038707733154,-4.327969074249268,-1.9340696334838867,-1.9340696334838867,0,0,1.9340696334838867,-1.9340696334838867,0,low_avg_token_margin,0.1556346,0,train,6,42
en,capital_balanced,balanced_capital_portugal_netherlands,The capital of Portugal is Lisbon.,1,Portugal,Lisbon,Lisbon,Amsterdam,-5.803014278411865,-8.095748901367188,-5.803014278411865,-8.095748901367188,2.2927346229553223,2.2927346229553223,1,1,1,1,-5.803014278411865,-8.095748901367188,-5.803014278411865,-8.095748901367188,2.2927346229553223,2.2927346229553223,1,1,2.2927346229553223,2.2927346229553223,1,low_avg_token_margin,0.80223846,1,train,6,42
en,capital_balanced,balanced_capital_portugal_netherlands,The capital of Portugal is Amsterdam.,0,Portugal,Amsterdam,Lisbon,Amsterdam,-5.803014278411865,-8.095748901367188,-5.803014278411865,-8.095748901367188,2.2927346229553223,2.2927346229553223,1,1,1,1,-8.095748901367188,-5.803014278411865,-8.095748901367188,-5.803014278411865,-2.2927346229553223,-2.2927346229553223,0,0,2.2927346229553223,-2.2927346229553223,0,low_avg_token_margin,0.07050594,0,train,6,42
en,capital_balanced,balanced_capital_portugal_netherlands,The capital of Netherlands is Amsterdam.,1,Netherlands,Amsterdam,Amsterdam,Lisbon,-5.697162628173828,-10.486673355102539,-5.697162628173828,-10.486673355102539,4.789510726928711,4.789510726928711,1,1,1,1,-5.697162628173828,-10.486673355102539,-5.697162628173828,-10.486673355102539,4.789510726928711,4.789510726928711,1,1,4.789510726928711,4.789510726928711,1,high_avg_token_margin,0.7676829,1,train,6,42
en,capital_balanced,balanced_capital_portugal_netherlands,The capital of Netherlands is Lisbon.,0,Netherlands,Lisbon,Amsterdam,Lisbon,-5.697162628173828,-10.486673355102539,-5.697162628173828,-10.486673355102539,4.789510726928711,4.789510726928711,1,1,1,1,-10.486673355102539,-5.697162628173828,-10.486673355102539,-5.697162628173828,-4.789510726928711,-4.789510726928711,0,0,4.789510726928711,-4.789510726928711,0,high_avg_token_margin,0.33161363,0,train,6,42
en,capital_balanced,balanced_capital_belgium_austria,The capital of Belgium is Brussels.,1,Belgium,Brussels,Brussels,Vienna,-6.881057262420654,-9.779258728027344,-6.881057262420654,-9.779258728027344,2.8982014656066895,2.8982014656066895,1,1,1,1,-6.881057262420654,-9.779258728027344,-6.881057262420654,-9.779258728027344,2.8982014656066895,2.8982014656066895,1,1,2.8982014656066895,2.8982014656066895,1,high_avg_token_margin,0.5131945,1,test,6,42
en,capital_balanced,balanced_capital_belgium_austria,The capital of Belgium is Vienna.,0,Belgium,Vienna,Brussels,Vienna,-6.881057262420654,-9.779258728027344,-6.881057262420654,-9.779258728027344,2.8982014656066895,2.8982014656066895,1,1,1,1,-9.779258728027344,-6.881057262420654,-9.779258728027344,-6.881057262420654,-2.8982014656066895,-2.8982014656066895,0,0,2.8982014656066895,-2.8982014656066895,0,high_avg_token_margin,0.037498586,0,test,6,42
en,capital_balanced,balanced_capital_belgium_austria,The capital of Austria is Vienna.,1,Austria,Vienna,Vienna,Brussels,-7.675666809082031,-9.458612442016602,-7.675666809082031,-9.458612442016602,1.7829456329345703,1.7829456329345703,1,1,1,1,-7.675666809082031,-9.458612442016602,-7.675666809082031,-9.458612442016602,1.7829456329345703,1.7829456329345703,1,1,1.7829456329345703,1.7829456329345703,1,low_avg_token_margin,0.043930493,0,test,6,42
en,capital_balanced,balanced_capital_belgium_austria,The capital of Austria is Brussels.,0,Austria,Brussels,Vienna,Brussels,-7.675666809082031,-9.458612442016602,-7.675666809082031,-9.458612442016602,1.7829456329345703,1.7829456329345703,1,1,1,1,-9.458612442016602,-7.675666809082031,-9.458612442016602,-7.675666809082031,-1.7829456329345703,-1.7829456329345703,0,0,1.7829456329345703,-1.7829456329345703,0,low_avg_token_margin,0.002726521,0,test,6,42
en,capital_balanced,balanced_capital_switzerland_poland,The capital of Switzerland is Bern.,1,Switzerland,Bern,Bern,Warsaw,-11.112587928771973,-9.525760650634766,-11.112587928771973,-9.525760650634766,-1.586827278137207,-1.586827278137207,0,0,1,1,-11.112587928771973,-9.525760650634766,-11.112587928771973,-9.525760650634766,-1.586827278137207,-1.586827278137207,0,0,-1.586827278137207,-1.586827278137207,0,low_avg_token_margin,0.2661002,0,test,6,42
en,capital_balanced,balanced_capital_switzerland_poland,The capital of Switzerland is Warsaw.,0,Switzerland,Warsaw,Bern,Warsaw,-11.112587928771973,-9.525760650634766,-11.112587928771973,-9.525760650634766,-1.586827278137207,-1.586827278137207,0,0,1,1,-9.525760650634766,-11.112587928771973,-9.525760650634766,-11.112587928771973,1.586827278137207,1.586827278137207,1,1,-1.586827278137207,1.586827278137207,1,low_avg_token_margin,0.0002912873,0,test,6,42
en,capital_balanced,balanced_capital_switzerland_poland,The capital of Poland is Warsaw.,1,Poland,Warsaw,Warsaw,Bern,-4.148795127868652,-12.393322944641113,-4.148795127868652,-12.393322944641113,8.244527816772461,8.244527816772461,1,1,1,1,-4.148795127868652,-12.393322944641113,-4.148795127868652,-12.393322944641113,8.244527816772461,8.244527816772461,1,1,8.244527816772461,8.244527816772461,1,high_avg_token_margin,0.9606765,1,test,6,42
en,capital_balanced,balanced_capital_switzerland_poland,The capital of Poland is Bern.,0,Poland,Bern,Warsaw,Bern,-4.148795127868652,-12.393322944641113,-4.148795127868652,-12.393322944641113,8.244527816772461,8.244527816772461,1,1,1,1,-12.393322944641113,-4.148795127868652,-12.393322944641113,-4.148795127868652,-8.244527816772461,-8.244527816772461,0,0,8.244527816772461,-8.244527816772461,0,high_avg_token_margin,0.8792263,1,test,6,42
en,capital_balanced,balanced_capital_czech_republic_hungary,The capital of Czech Republic is Prague.,1,Czech Republic,Prague,Prague,Budapest,-7.2606306076049805,-7.249453544616699,-7.2606306076049805,-7.249453544616699,-0.01117706298828125,-0.01117706298828125,0,0,1,1,-7.2606306076049805,-7.249453544616699,-7.2606306076049805,-7.249453544616699,-0.01117706298828125,-0.01117706298828125,0,0,-0.01117706298828125,-0.01117706298828125,0,low_avg_token_margin,0.88442904,1,train,6,42
en,capital_balanced,balanced_capital_czech_republic_hungary,The capital of Czech Republic is Budapest.,0,Czech Republic,Budapest,Prague,Budapest,-7.2606306076049805,-7.249453544616699,-7.2606306076049805,-7.249453544616699,-0.01117706298828125,-0.01117706298828125,0,0,1,1,-7.249453544616699,-7.2606306076049805,-7.249453544616699,-7.2606306076049805,0.01117706298828125,0.01117706298828125,1,1,-0.01117706298828125,0.01117706298828125,1,low_avg_token_margin,0.06937295,0,train,6,42
en,capital_balanced,balanced_capital_czech_republic_hungary,The capital of Hungary is Budapest.,1,Hungary,Budapest,Budapest,Prague,-5.220826148986816,-9.37701416015625,-5.220826148986816,-9.37701416015625,4.156188011169434,4.156188011169434,1,1,1,1,-5.220826148986816,-9.37701416015625,-5.220826148986816,-9.37701416015625,4.156188011169434,4.156188011169434,1,1,4.156188011169434,4.156188011169434,1,high_avg_token_margin,0.89059013,1,train,6,42
en,capital_balanced,balanced_capital_czech_republic_hungary,The capital of Hungary is Prague.,0,Hungary,Prague,Budapest,Prague,-5.220826148986816,-9.37701416015625,-5.220826148986816,-9.37701416015625,4.156188011169434,4.156188011169434,1,1,1,1,-9.37701416015625,-5.220826148986816,-9.37701416015625,-5.220826148986816,-4.156188011169434,-4.156188011169434,0,0,4.156188011169434,-4.156188011169434,0,high_avg_token_margin,0.182995,0,train,6,42
en,capital_balanced,balanced_capital_greece_norway,The capital of Greece is Athens.,1,Greece,Athens,Athens,Oslo,-3.954880475997925,-15.181044578552246,-3.954880475997925,-15.181044578552246,11.226164102554321,11.226164102554321,1,1,1,1,-3.954880475997925,-15.181044578552246,-3.954880475997925,-15.181044578552246,11.226164102554321,11.226164102554321,1,1,11.226164102554321,11.226164102554321,1,high_avg_token_margin,0.25937057,0,test,6,42
