analysis,group,rows,blocks,accuracy,auc,auc_ci_low,auc_ci_high,bootstrap_samples,separability_auc,mean_margin,median_margin,score_column,margin_column,ci_unit
completion_total,all_rows,152,38,0.868421052631579,0.925207756232687,0.8630540166204986,0.9771597991689749,2000,0.925207756232687,2.8058750981891043,2.7911775598768145,completion_total_score,completion_total_margin,pair_id_block
completion_avg_token,all_rows,152,38,0.7105263157894737,0.8099030470914127,0.7413391620498614,0.8774238227146814,2000,0.8099030470914127,2.1679065988769297,2.304320514202118,completion_avg_token_score,completion_avg_token_margin,pair_id_block
residual_probe,all_rows,152,38,0.881578947368421,0.9186288088642659,0.8620065789473684,0.967455851800554,2000,0.9186288088642659,2.1679065988769297,2.304320514202118,probe_prob_true,completion_avg_token_margin,pair_id_block
completion_total,heldout_rows,48,12,0.75,0.8611111111111112,0.7534722222222223,0.9548611111111112,2000,0.8611111111111112,2.8209595703173136,2.8233613118336507,completion_total_score,completion_total_margin,pair_id_block
completion_avg_token,heldout_rows,48,12,0.625,0.7864583333333334,0.6736111111111112,0.8906684027777776,2000,0.7864583333333334,2.0790562587113652,2.184014815020449,completion_avg_token_score,completion_avg_token_margin,pair_id_block
residual_probe,heldout_rows,48,12,0.625,0.8090277777777778,0.7083333333333334,0.921875,2000,0.8090277777777778,2.0790562587113652,2.184014815020449,probe_prob_true,completion_avg_token_margin,pair_id_block
completion_total,heldout_high_avg_token_margin,24,11,0.8333333333333334,0.9444444444444445,0.75,1.0,2000,0.9444444444444445,4.289264135878814,2.9572304049506783,completion_total_score,completion_total_margin,pair_id_block
completion_avg_token,heldout_high_avg_token_margin,24,11,1.0,1.0,0.9999999999999999,1.0,2000,1.0,4.925236270488413,3.8139808156217136,completion_avg_token_score,completion_avg_token_margin,pair_id_block
residual_probe,heldout_high_avg_token_margin,24,11,0.5833333333333334,0.7638888888888888,0.5785123966942148,0.9289940828402367,2000,0.7638888888888888,4.925236270488413,3.8139808156217136,probe_prob_true,completion_avg_token_margin,pair_id_block
completion_total,heldout_low_avg_token_margin,24,11,0.6666666666666666,0.75,0.4373263888888889,0.9704594017094015,2000,0.75,1.3526550047558128,1.9886905845492038,completion_total_score,completion_total_margin,pair_id_block
completion_avg_token,heldout_low_avg_token_margin,24,11,0.25,0.27083333333333337,0.0,0.5626386834319519,2000,0.7291666666666666,-0.767123753065683,-0.6344257650071086,completion_avg_token_score,completion_avg_token_margin,pair_id_block
residual_probe,heldout_low_avg_token_margin,24,11,0.6666666666666666,0.8472222222222221,0.6805555555555556,1.0,2000,0.8472222222222221,-0.767123753065683,-0.6344257650071086,probe_prob_true,completion_avg_token_margin,pair_id_block
