split,direction_type,alpha,countries,blocks,mean_delta_correct_avg_token_logprob,mean_delta_false_avg_token_logprob,mean_delta_avg_token_margin,std_delta_avg_token_margin,median_delta_avg_token_margin,min_delta_avg_token_margin,max_delta_avg_token_margin,baseline_prefers_correct_countries,baseline_prefers_false_countries,mean_delta_margin_when_baseline_prefers_correct,mean_delta_margin_when_baseline_prefers_false,baseline_correct_minus_wrong_delta_margin,baseline_correct_minus_wrong_delta_margin_ci_low,baseline_correct_minus_wrong_delta_margin_ci_high,baseline_preference_diff_bootstrap_samples,mean_delta_correct_when_baseline_prefers_correct,mean_delta_false_when_baseline_prefers_correct,mean_delta_correct_when_baseline_prefers_false,mean_delta_false_when_baseline_prefers_false,sign_flip_to_correct,sign_flip_to_false,sign_flip_total,corr_baseline_margin_delta_margin
all_countries,label_permutation,-4.0,76,38,0.0011576451393550621,-0.0003931830696047242,0.0015511726784250522,0.014704246058745003,1.5202967915683985e-06,-0.0541410045698285,0.057596743106842,54,22,0.0005898386828309597,0.003910810667610551,-0.003320971984779591,-0.013970734715288431,0.005718434175709101,3000,0.0004439355976967812,-0.00014572844547954556,0.0029094776506981153,-0.0010005716924574354,0,0,0,-0.07385253357862467
all_countries,label_permutation,0.0,76,38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54,22,0.0,0.0,0.0,0.0,0.0,3000,0.0,0.0,0.0,0.0,0,0,0,
all_countries,label_permutation,4.0,76,38,-0.0017626651781461873,-0.0009894866011558136,-0.0007731785769903955,0.01528433878456154,0.0,-0.0613276734948158,0.0581353213638067,54,22,-0.0005569101263537714,-0.0013040193194621098,0.0007471091931083384,-0.009132908278239074,0.012300227524667038,3000,-0.0010855226632628904,-0.000528612536909147,-0.0034247422601324617,-0.002120722940670359,0,0,0,-0.009796527041471522
all_countries,learned_probe,-4.0,76,38,-0.0004322522164205174,-0.0025620203232285094,0.002130112576273255,0.02112700782889883,0.0,-0.0859036673864466,0.0856379943943466,54,22,-0.0018280373494778475,0.011845571484935057,-0.013673608834412904,-0.0297820455189626,0.0009492646787068059,3000,-0.001241875264882467,0.0005863367242499811,0.0015550043570769954,-0.010289805803402986,0,0,0,-0.2062296940537839
all_countries,learned_probe,0.0,76,38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54,22,0.0,0.0,0.0,0.0,0.0,3000,0.0,0.0,0.0,0.0,0,0,0,
all_countries,learned_probe,4.0,76,38,-8.817522300753669e-05,0.0012385949553286692,-0.0013267701783362153,0.022538455060492894,0.0,-0.1009842067651334,0.1117068585226661,54,22,0.0023894410807573574,-0.010448379632474988,0.012837820713232344,-0.0020005550557581396,0.03015679064828533,3000,0.0009206883389674208,-0.001468752741789962,-0.0025644766933097048,0.00788390293916531,0,0,0,0.16213303039674123
all_countries,random_direction,-4.0,76,38,-0.00038039811946597623,-0.0012247434095570685,0.0008446897595563302,0.016317578856962427,1.9073486328125e-06,-0.0670765362427801,0.0571305006742477,54,22,-0.00016549351522710746,0.0033242305249338577,-0.0034897240401609653,-0.014919494174056224,0.007936141088662627,3000,-0.00029533315711095646,-0.00012966500222925484,-0.0005891939361555702,-0.003912663136634429,0,0,0,-0.13287850927124678
all_countries,random_direction,0.0,76,38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54,22,0.0,0.0,0.0,0.0,0.0,3000,0.0,0.0,0.0,0.0,0,0,0,
all_countries,random_direction,4.0,76,38,-0.00024735425756469844,-0.0005860116235158445,0.00033865736595114137,0.01589229529114449,0.0,-0.0427619218826293,0.0784282007956562,54,22,0.0008342702156173887,-0.0008778469014114658,0.0017121171170288545,-0.00899625311851413,0.01236450551689646,3000,-0.0002846286388650172,-0.001118898854482386,-0.00015586259437300691,0.0007219843070383935,0,0,0,0.05983834657533896
heldout_countries,label_permutation,-4.0,24,12,0.0015394787168284962,-0.002695123334557329,0.0042354265680766496,0.014821285645855553,4.291534423828125e-06,-0.0312119318793211,0.0419103294771048,15,9,0.007339742988571904,-0.0009384341327487752,0.008278177121320679,-0.0029726214028489443,0.021520392040996966,3000,0.0020471317060258174,-0.005291932324588681,0.0006933904014996273,0.001632891648828257,0,0,0,0.1966435978459216
heldout_countries,label_permutation,0.0,24,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,9,0.0,0.0,0.0,0.0,0.0,3000,0.0,0.0,0.0,0.0,0,0,0,
heldout_countries,label_permutation,4.0,24,12,-0.0021431843852547094,0.0013359599256520711,-0.003479144310906858,0.014772390173833326,0.0,-0.0362986624240875,0.0327715594321489,15,9,-0.007708669725636578,0.0035700647136426775,-0.011278734439279256,-0.025926314845852165,0.0006507238574253043,3000,-0.0032599624891493334,0.004448707236487159,-0.00028188754543033586,-0.003851952259073076,0,0,0,-0.276255419271288
heldout_countries,learned_probe,-4.0,24,12,0.00044503057194764106,-0.002951481362528189,0.003397336451166657,0.03154281215564052,2.86102294921875e-06,-0.0859036673864466,0.0856379943943466,15,9,-0.010666274826997117,0.026836688581439616,-0.03750296340843673,-0.06945498159956154,-0.011519669345991794,3000,-0.004506927493332317,0.0061600262916221855,0.008698294014080905,-0.018137327452778813,0,0,0,-0.3493685221821859
heldout_countries,learned_probe,0.0,24,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,9,0.0,0.0,0.0,0.0,0.0,3000,0.0,0.0,0.0,0.0,0,0,0,
heldout_countries,learned_probe,4.0,24,12,-0.0015754008577560836,0.000741322937857225,-0.002316723795613342,0.03532017478893127,0.0,-0.1009842067651334,0.1117068585226661,15,9,0.01200723331905056,-0.02618998565338651,0.038197218972437066,0.011115852540582795,0.0763468019551847,3000,0.003925004256096972,-0.008082229062953654,-0.010742742714177843,0.01544724293920869,0,0,0,0.30432401810627235
heldout_countries,random_direction,-4.0,24,12,0.0010502142036684186,-0.002486700125635103,0.0035377388459943014,0.01627370411743629,3.337860107421875e-06,-0.0264548299213247,0.0571305006742477,15,9,0.0011228616725728,0.007562534135030137,-0.006439672462457338,-0.025173560957654013,0.008505554784962167,3000,-0.0003359098155891823,-0.0014580925302046428,0.0033604209024310863,-0.004201046118019204,0,0,0,-0.2309932585076364
heldout_countries,random_direction,0.0,24,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,9,0.0,0.0,0.0,0.0,0.0,3000,0.0,0.0,0.0,0.0,0,0,0,
heldout_countries,random_direction,4.0,24,12,-0.001551580988178869,0.0006490857684209687,-0.0022006667565999064,0.01377589268031877,0.0,-0.0427619218826293,0.0229259238888817,15,9,-0.0007221212098981973,-0.004664909334436088,0.003942788124537891,-0.010518690503181717,0.019136445210948413,3000,-0.0004355379385055258,0.0002865832713926153,-0.0034116527376344408,0.0012532565968015577,0,0,0,0.19630245548184821
