direction_type,position_mode,layer,seed,split,alpha,countries,blocks,mean_total_margin,mean_avg_token_margin,mean_delta_total_margin,mean_delta_avg_token_margin,pairwise_total_accuracy,pairwise_avg_token_accuracy,block_exact_avg_token_accuracy,block_one_correct_avg_token_rate,block_zero_correct_avg_token_rate,ci_unit,delta_avg_token_margin_ci_low,delta_avg_token_margin_ci_high,prefers_correct_avg_token_ci_low,prefers_correct_avg_token_ci_high,block_exact_accuracy_ci_low,block_exact_accuracy_ci_high,bootstrap_samples
learned_probe,completion-internal-only,6,42,all_countries,-4.0,76,38,2.809869092900044,2.170036711453203,0.003993994710939612,0.0021301125762732513,0.868421052631579,0.7105263157894737,0.42105263157894735,0.5789473684210527,0.0,pair_id_block,-0.0003367425004305918,0.004855030709981021,0.631578947368421,0.7894736842105263,0.2631578947368421,0.5789473684210527,1000
learned_probe,completion-internal-only,6,42,heldout_countries,-4.0,24,12,2.8291277788938864,2.082453595162532,0.008168208576573003,0.0033973364511666513,0.75,0.625,0.25,0.75,0.0,pair_id_block,-2.347402757247132e-05,0.008735248714917028,0.5,0.75,0.0,0.5,1000
learned_probe,completion-internal-only,6,42,all_countries,0.0,76,38,2.805875760714828,2.1679069433463947,0.0,0.0,0.868421052631579,0.7105263157894737,0.42105263157894735,0.5789473684210527,0.0,pair_id_block,0.0,0.0,0.631578947368421,0.7894736842105263,0.2631578947368421,0.5789473684210527,1000
learned_probe,completion-internal-only,6,42,heldout_countries,0.0,24,12,2.8209607061816087,2.079057083228056,0.0,0.0,0.75,0.625,0.25,0.75,0.0,pair_id_block,0.0,0.0,0.5,0.75,0.0,0.5,1000
learned_probe,completion-internal-only,6,42,all_countries,4.0,76,38,2.8038643937902576,2.1665801731680587,-0.002011366924570642,-0.0013267701783362146,0.868421052631579,0.7105263157894737,0.42105263157894735,0.5789473684210527,0.0,pair_id_block,-0.0037083877784791935,0.0008851564362941205,0.631578947368421,0.7894736842105263,0.2631578947368421,0.5789473684210527,1000
learned_probe,completion-internal-only,6,42,heldout_countries,4.0,24,12,2.816225628051484,2.076740359432443,-0.004735078130124748,-0.0023167237956133366,0.75,0.625,0.25,0.75,0.0,pair_id_block,-0.006633168582787531,0.00074781330840728,0.5,0.75,0.0,0.5,1000
random_direction,completion-internal-only,6,42,all_countries,-4.0,76,38,2.8091595908423237,2.1687512886364857,0.0032844926532190678,0.0008446897595563339,0.868421052631579,0.7105263157894737,0.42105263157894735,0.5789473684210527,0.0,pair_id_block,-0.0014641843462953952,0.0032859961794906006,0.631578947368421,0.7894736842105263,0.2631578947368421,0.5789473684210527,1000
random_direction,completion-internal-only,6,42,heldout_countries,-4.0,24,12,2.831592698706686,2.08259399755736,0.01063312838937236,0.0035377388459943058,0.75,0.625,0.25,0.75,0.0,pair_id_block,-0.0010132011300406879,0.009464841147062242,0.5,0.75,0.0,0.5,1000
random_direction,completion-internal-only,6,42,all_countries,0.0,76,38,2.805875760714828,2.1679069433463947,0.0,0.0,0.868421052631579,0.7105263157894737,0.42105263157894735,0.5789473684210527,0.0,pair_id_block,0.0,0.0,0.631578947368421,0.7894736842105263,0.2631578947368421,0.5789473684210527,1000
random_direction,completion-internal-only,6,42,heldout_countries,0.0,24,12,2.8209607061816087,2.079057083228056,0.0,0.0,0.75,0.625,0.25,0.75,0.0,pair_id_block,0.0,0.0,0.5,0.75,0.0,0.5,1000
random_direction,completion-internal-only,6,42,all_countries,4.0,76,38,2.805856647999606,2.1682456007123463,-1.911271522203606e-05,0.0003386573659511373,0.868421052631579,0.7105263157894737,0.42105263157894735,0.5789473684210527,0.0,pair_id_block,-0.0017703542170929307,0.0027119304552571176,0.631578947368421,0.7894736842105263,0.2631578947368421,0.5789473684210527,1000
random_direction,completion-internal-only,6,42,heldout_countries,4.0,24,12,2.814934428075958,2.0768564164714562,-0.0060262781056508175,-0.0022006667565999116,0.75,0.625,0.25,0.75,0.0,pair_id_block,-0.006321913863274631,0.001288689741145708,0.5,0.75,0.0,0.5,1000
label_permutation,completion-internal-only,6,42,all_countries,-4.0,76,38,2.8103029871789134,2.1694577715553547,0.004427888989808755,0.0015511726784250542,0.868421052631579,0.7105263157894737,0.42105263157894735,0.5789473684210527,0.0,pair_id_block,-0.0006771264058415313,0.004085670026547308,0.631578947368421,0.7894736842105263,0.2631578947368421,0.5789473684210527,1000
label_permutation,completion-internal-only,6,42,heldout_countries,-4.0,24,12,2.8359174373248757,2.083291685279442,0.014957867007562223,0.004235426568076665,0.75,0.625,0.25,0.75,0.0,pair_id_block,0.0002616564328288107,0.010537221938557195,0.5,0.75,0.0,0.5,1000
label_permutation,completion-internal-only,6,42,all_countries,0.0,76,38,2.805875760714828,2.1679069433463947,0.0,0.0,0.868421052631579,0.7105263157894737,0.42105263157894735,0.5789473684210527,0.0,pair_id_block,0.0,0.0,0.631578947368421,0.7894736842105263,0.2631578947368421,0.5789473684210527,1000
label_permutation,completion-internal-only,6,42,heldout_countries,0.0,24,12,2.8209607061816087,2.079057083228056,0.0,0.0,0.75,0.625,0.25,0.75,0.0,pair_id_block,0.0,0.0,0.5,0.75,0.0,0.5,1000
