model,layer,source_domain,target_domain,cosine_similarity
gpt2-small,8,book_author,book_author,0.9999999985943346
gpt2-small,8,book_author,capital,0.00637535837649611
gpt2-small,8,book_author,continent,0.016194787001800177
gpt2-small,8,book_author,element_symbol,-0.029975679479638626
gpt2-small,8,book_author,landmark_country,0.04170254766126187
gpt2-small,8,book_author,math,0.01650275392275522
gpt2-small,8,book_author,science,0.096793662491697
gpt2-small,8,capital,book_author,0.00637535837649611
gpt2-small,8,capital,capital,0.9999999993231465
gpt2-small,8,capital,continent,0.2954517601726357
gpt2-small,8,capital,element_symbol,0.18177463970982335
gpt2-small,8,capital,landmark_country,0.19438795804391956
gpt2-small,8,capital,math,0.04019729760689104
gpt2-small,8,capital,science,0.13060910191134095
gpt2-small,8,continent,book_author,0.016194787001800177
gpt2-small,8,continent,capital,0.2954517601726357
gpt2-small,8,continent,continent,0.999999999618112
gpt2-small,8,continent,element_symbol,0.03714887731317815
gpt2-small,8,continent,landmark_country,0.3008825597048821
gpt2-small,8,continent,math,-0.0317979227970259
gpt2-small,8,continent,science,-0.0004631716106293562
gpt2-small,8,element_symbol,book_author,-0.029975679479638626
gpt2-small,8,element_symbol,capital,0.18177463970982335
gpt2-small,8,element_symbol,continent,0.03714887731317815
gpt2-small,8,element_symbol,element_symbol,0.9999999997362046
gpt2-small,8,element_symbol,landmark_country,0.17604935251964376
gpt2-small,8,element_symbol,math,0.011361501454319627
gpt2-small,8,element_symbol,science,0.0038093706029179303
gpt2-small,8,landmark_country,book_author,0.04170254766126187
gpt2-small,8,landmark_country,capital,0.19438795804391956
gpt2-small,8,landmark_country,continent,0.3008825597048821
gpt2-small,8,landmark_country,element_symbol,0.17604935251964376
gpt2-small,8,landmark_country,landmark_country,0.999999999426028
gpt2-small,8,landmark_country,math,0.09820940819108867
gpt2-small,8,landmark_country,science,-0.04331729213132178
gpt2-small,8,math,book_author,0.01650275392275522
gpt2-small,8,math,capital,0.04019729760689104
gpt2-small,8,math,continent,-0.0317979227970259
gpt2-small,8,math,element_symbol,0.011361501454319627
gpt2-small,8,math,landmark_country,0.09820940819108867
gpt2-small,8,math,math,0.9999999996936543
gpt2-small,8,math,science,0.08082708300945476
gpt2-small,8,science,book_author,0.096793662491697
gpt2-small,8,science,capital,0.13060910191134095
gpt2-small,8,science,continent,-0.0004631716106293562
gpt2-small,8,science,element_symbol,0.0038093706029179303
gpt2-small,8,science,landmark_country,-0.04331729213132178
gpt2-small,8,science,math,0.08082708300945476
gpt2-small,8,science,science,0.9999999990560906
