model,layer,seed,source_domain,target_domain,source_rows,target_rows,split,accuracy,auc,separability_auc,predicted_true_rate
gpt2-small,8,42,book_author,book_author,60,18,source_group_heldout,0.3333333333333333,0.29629629629629634,0.7037037037037037,0.5
gpt2-small,8,42,book_author,capital,60,152,source_all_to_target_all,0.4868421052631579,0.5398199445983379,0.5398199445983379,0.02631578947368421
gpt2-small,8,42,book_author,continent,60,86,source_all_to_target_all,0.47674418604651164,0.5024337479718767,0.5024337479718767,0.3488372093023256
gpt2-small,8,42,book_author,element_symbol,60,80,source_all_to_target_all,0.5,0.49687500000000007,0.5031249999999999,0.0
gpt2-small,8,42,book_author,landmark_country,60,60,source_all_to_target_all,0.48333333333333334,0.4866666666666667,0.5133333333333333,0.08333333333333333
gpt2-small,8,42,book_author,math,60,40,source_all_to_target_all,0.5,0.5050000000000001,0.5050000000000001,0.0
gpt2-small,8,42,book_author,science,60,50,source_all_to_target_all,0.5,0.5408,0.5408,0.0
gpt2-small,8,42,capital,book_author,152,60,source_all_to_target_all,0.5,0.49222222222222217,0.5077777777777779,0.5333333333333333
gpt2-small,8,42,capital,capital,152,46,source_group_heldout,0.8260869565217391,0.9527410207939508,0.9527410207939508,0.41304347826086957
gpt2-small,8,42,capital,continent,152,86,source_all_to_target_all,0.4883720930232558,0.6327744726879394,0.6327744726879394,0.8488372093023255
gpt2-small,8,42,capital,element_symbol,152,80,source_all_to_target_all,0.5125,0.570625,0.570625,0.0625
gpt2-small,8,42,capital,landmark_country,152,60,source_all_to_target_all,0.55,0.5744444444444445,0.5744444444444445,0.45
gpt2-small,8,42,capital,math,152,40,source_all_to_target_all,0.5,0.5237499999999999,0.5237499999999999,1.0
gpt2-small,8,42,capital,science,152,50,source_all_to_target_all,0.52,0.5728,0.5728,0.94
gpt2-small,8,42,continent,book_author,86,60,source_all_to_target_all,0.5,0.5144444444444444,0.5144444444444444,0.7
gpt2-small,8,42,continent,capital,86,152,source_all_to_target_all,0.6381578947368421,0.7661011080332409,0.7661011080332409,0.8486842105263158
gpt2-small,8,42,continent,continent,86,26,source_group_heldout,0.5769230769230769,0.6923076923076923,0.6923076923076923,0.38461538461538464
gpt2-small,8,42,continent,element_symbol,86,80,source_all_to_target_all,0.45,0.5334375,0.5334375,0.9
gpt2-small,8,42,continent,landmark_country,86,60,source_all_to_target_all,0.5166666666666667,0.6122222222222222,0.6122222222222222,0.6166666666666667
gpt2-small,8,42,continent,math,86,40,source_all_to_target_all,0.475,0.4925,0.5075000000000001,0.925
gpt2-small,8,42,continent,science,86,50,source_all_to_target_all,0.56,0.5328,0.5328,0.46
gpt2-small,8,42,element_symbol,book_author,80,60,source_all_to_target_all,0.5,0.5,0.5,0.9333333333333333
gpt2-small,8,42,element_symbol,capital,80,152,source_all_to_target_all,0.4934210526315789,0.48692867036011084,0.5130713296398892,0.993421052631579
gpt2-small,8,42,element_symbol,continent,80,86,source_all_to_target_all,0.5,0.5,0.5,1.0
gpt2-small,8,42,element_symbol,element_symbol,80,24,source_group_heldout,0.4166666666666667,0.47916666666666674,0.5208333333333333,0.5833333333333334
gpt2-small,8,42,element_symbol,landmark_country,80,60,source_all_to_target_all,0.5,0.5433333333333333,0.5433333333333333,1.0
gpt2-small,8,42,element_symbol,math,80,40,source_all_to_target_all,0.5,0.535,0.535,1.0
gpt2-small,8,42,element_symbol,science,80,50,source_all_to_target_all,0.5,0.4944,0.5056,1.0
gpt2-small,8,42,landmark_country,book_author,60,60,source_all_to_target_all,0.5166666666666667,0.47500000000000003,0.5249999999999999,0.5833333333333334
gpt2-small,8,42,landmark_country,capital,60,152,source_all_to_target_all,0.5394736842105263,0.7352839335180055,0.7352839335180055,0.9342105263157895
gpt2-small,8,42,landmark_country,continent,60,86,source_all_to_target_all,0.627906976744186,0.65440778799351,0.65440778799351,0.5
gpt2-small,8,42,landmark_country,element_symbol,60,80,source_all_to_target_all,0.525,0.5575,0.5575,0.1
gpt2-small,8,42,landmark_country,landmark_country,60,18,source_group_heldout,0.6111111111111112,0.5925925925925926,0.5925925925925926,0.3333333333333333
gpt2-small,8,42,landmark_country,math,60,40,source_all_to_target_all,0.475,0.48624999999999996,0.51375,0.825
gpt2-small,8,42,landmark_country,science,60,50,source_all_to_target_all,0.5,0.4816000000000001,0.5184,0.52
gpt2-small,8,42,math,book_author,40,60,source_all_to_target_all,0.4666666666666667,0.5238888888888888,0.5238888888888888,0.9
gpt2-small,8,42,math,capital,40,152,source_all_to_target_all,0.4934210526315789,0.4888331024930747,0.5111668975069252,0.9802631578947368
gpt2-small,8,42,math,continent,40,86,source_all_to_target_all,0.5348837209302325,0.4994591671173607,0.5005408328826393,0.9186046511627907
gpt2-small,8,42,math,element_symbol,40,80,source_all_to_target_all,0.5,0.51875,0.51875,0.05
gpt2-small,8,42,math,landmark_country,40,60,source_all_to_target_all,0.5,0.4844444444444444,0.5155555555555555,1.0
gpt2-small,8,42,math,math,40,12,source_group_heldout,0.5,0.6111111111111112,0.6111111111111112,1.0
gpt2-small,8,42,math,science,40,50,source_all_to_target_all,0.5,0.5456,0.5456,0.24
gpt2-small,8,42,science,book_author,50,60,source_all_to_target_all,0.5666666666666667,0.5722222222222223,0.5722222222222223,0.13333333333333333
gpt2-small,8,42,science,capital,50,152,source_all_to_target_all,0.5263157894736842,0.6483725761772853,0.6483725761772853,0.06578947368421052
gpt2-small,8,42,science,continent,50,86,source_all_to_target_all,0.5116279069767442,0.4710654407787994,0.5289345592212006,0.6162790697674418
gpt2-small,8,42,science,element_symbol,50,80,source_all_to_target_all,0.5,0.5112500000000001,0.5112500000000001,0.0
gpt2-small,8,42,science,landmark_country,50,60,source_all_to_target_all,0.48333333333333334,0.4933333333333333,0.5066666666666667,0.05
gpt2-small,8,42,science,math,50,40,source_all_to_target_all,0.5,0.52,0.52,0.85
gpt2-small,8,42,science,science,50,16,source_group_heldout,0.4375,0.421875,0.578125,0.3125
