control,directions_removed,accuracy,auc,separability_auc,model,domain,layer,seed,train_rows,test_rows,split
learned_iterative,0,0.625,0.8090277777777778,0.8090277777777778,gpt2-small,capital_balanced,6,42,104,48,group
learned_iterative,1,0.6041666666666666,0.7864583333333333,0.7864583333333333,gpt2-small,capital_balanced,6,42,104,48,group
learned_iterative,2,0.6875,0.7777777777777779,0.7777777777777779,gpt2-small,capital_balanced,6,42,104,48,group
learned_iterative,3,0.6666666666666666,0.7847222222222222,0.7847222222222222,gpt2-small,capital_balanced,6,42,104,48,group
learned_iterative,4,0.6458333333333334,0.7552083333333334,0.7552083333333334,gpt2-small,capital_balanced,6,42,104,48,group
learned_iterative,5,0.6458333333333334,0.78125,0.78125,gpt2-small,capital_balanced,6,42,104,48,group
learned_iterative,6,0.6666666666666666,0.7534722222222222,0.7534722222222222,gpt2-small,capital_balanced,6,42,104,48,group
learned_iterative,7,0.6666666666666666,0.7586805555555556,0.7586805555555556,gpt2-small,capital_balanced,6,42,104,48,group
learned_iterative,8,0.6875,0.7569444444444444,0.7569444444444444,gpt2-small,capital_balanced,6,42,104,48,group
learned_iterative,9,0.6875,0.7569444444444444,0.7569444444444444,gpt2-small,capital_balanced,6,42,104,48,group
learned_iterative,10,0.6666666666666666,0.7534722222222222,0.7534722222222222,gpt2-small,capital_balanced,6,42,104,48,group
learned_iterative,11,0.6875,0.7604166666666667,0.7604166666666667,gpt2-small,capital_balanced,6,42,104,48,group
learned_iterative,12,0.625,0.7378472222222222,0.7378472222222222,gpt2-small,capital_balanced,6,42,104,48,group
learned_iterative,13,0.6875,0.7413194444444444,0.7413194444444444,gpt2-small,capital_balanced,6,42,104,48,group
learned_iterative,14,0.625,0.734375,0.734375,gpt2-small,capital_balanced,6,42,104,48,group
learned_iterative,15,0.625,0.7395833333333333,0.7395833333333333,gpt2-small,capital_balanced,6,42,104,48,group
learned_iterative,16,0.6458333333333334,0.7256944444444444,0.7256944444444444,gpt2-small,capital_balanced,6,42,104,48,group
random_direction,0,0.625,0.8090277777777778,0.8090277777777778,gpt2-small,capital_balanced,6,42,104,48,group
random_direction,1,0.625,0.8090277777777778,0.8090277777777778,gpt2-small,capital_balanced,6,42,104,48,group
random_direction,2,0.6041666666666666,0.8055555555555556,0.8055555555555556,gpt2-small,capital_balanced,6,42,104,48,group
random_direction,3,0.625,0.8038194444444444,0.8038194444444444,gpt2-small,capital_balanced,6,42,104,48,group
random_direction,4,0.625,0.8038194444444444,0.8038194444444444,gpt2-small,capital_balanced,6,42,104,48,group
random_direction,5,0.625,0.8020833333333334,0.8020833333333334,gpt2-small,capital_balanced,6,42,104,48,group
random_direction,6,0.6041666666666666,0.7986111111111112,0.7986111111111112,gpt2-small,capital_balanced,6,42,104,48,group
random_direction,7,0.625,0.8020833333333334,0.8020833333333334,gpt2-small,capital_balanced,6,42,104,48,group
random_direction,8,0.6041666666666666,0.8055555555555556,0.8055555555555556,gpt2-small,capital_balanced,6,42,104,48,group
random_direction,9,0.6041666666666666,0.8038194444444444,0.8038194444444444,gpt2-small,capital_balanced,6,42,104,48,group
random_direction,10,0.6041666666666666,0.8003472222222222,0.8003472222222222,gpt2-small,capital_balanced,6,42,104,48,group
random_direction,11,0.6041666666666666,0.8020833333333334,0.8020833333333334,gpt2-small,capital_balanced,6,42,104,48,group
random_direction,12,0.625,0.796875,0.796875,gpt2-small,capital_balanced,6,42,104,48,group
random_direction,13,0.625,0.7951388888888888,0.7951388888888888,gpt2-small,capital_balanced,6,42,104,48,group
random_direction,14,0.6458333333333334,0.7951388888888888,0.7951388888888888,gpt2-small,capital_balanced,6,42,104,48,group
random_direction,15,0.6458333333333334,0.7934027777777778,0.7934027777777778,gpt2-small,capital_balanced,6,42,104,48,group
random_direction,16,0.6458333333333334,0.7934027777777778,0.7934027777777778,gpt2-small,capital_balanced,6,42,104,48,group
label_permutation,0,0.625,0.8090277777777778,0.8090277777777778,gpt2-small,capital_balanced,6,42,104,48,group
label_permutation,1,0.625,0.8125,0.8125,gpt2-small,capital_balanced,6,42,104,48,group
label_permutation,2,0.625,0.814236111111111,0.814236111111111,gpt2-small,capital_balanced,6,42,104,48,group
label_permutation,3,0.625,0.7934027777777778,0.7934027777777778,gpt2-small,capital_balanced,6,42,104,48,group
label_permutation,4,0.6458333333333334,0.7934027777777778,0.7934027777777778,gpt2-small,capital_balanced,6,42,104,48,group
label_permutation,5,0.6666666666666666,0.78125,0.78125,gpt2-small,capital_balanced,6,42,104,48,group
label_permutation,6,0.6666666666666666,0.78125,0.78125,gpt2-small,capital_balanced,6,42,104,48,group
label_permutation,7,0.6458333333333334,0.7760416666666667,0.7760416666666667,gpt2-small,capital_balanced,6,42,104,48,group
