layer,accuracy,auc,separability_auc
0,0.32608695652173914,0.27599243856332706,0.724007561436673
1,0.6086956521739131,0.6275992438563327,0.6275992438563327
2,0.6521739130434783,0.7693761814744802,0.7693761814744802
3,0.6739130434782609,0.771266540642722,0.771266540642722
4,0.8043478260869565,0.8941398865784499,0.8941398865784499
5,0.8478260869565217,0.941398865784499,0.941398865784499
6,0.8260869565217391,0.943289224952741,0.943289224952741
7,0.8478260869565217,0.9376181474480152,0.9376181474480152
8,0.8260869565217391,0.9527410207939508,0.9527410207939508
9,0.8043478260869565,0.9413988657844992,0.9413988657844992
10,0.8695652173913043,0.947069943289225,0.947069943289225
11,0.782608695652174,0.9017013232514177,0.9017013232514177
