layer,accuracy,auc,separability_auc
0,0.5416666666666666,0.5538194444444444,0.5538194444444444
1,0.5833333333333334,0.6145833333333334,0.6145833333333334
2,0.625,0.6336805555555556,0.6336805555555556
3,0.6458333333333334,0.6631944444444445,0.6631944444444445
4,0.625,0.7586805555555556,0.7586805555555556
5,0.625,0.7204861111111112,0.7204861111111112
6,0.625,0.8090277777777778,0.8090277777777778
7,0.6666666666666666,0.782986111111111,0.782986111111111
8,0.625,0.8020833333333334,0.8020833333333334
9,0.625,0.7708333333333334,0.7708333333333334
10,0.6666666666666666,0.7777777777777778,0.7777777777777778
11,0.7083333333333334,0.717013888888889,0.717013888888889
