layer,accuracy,auc
0,0.32075471698113206,0.2943037974683544
1,0.4025157232704403,0.3474683544303797
2,0.44654088050314467,0.4044303797468355
3,0.3710691823899371,0.37484177215189873
4,0.4591194968553459,0.48338607594936706
5,0.46540880503144655,0.4593354430379747
6,0.44025157232704404,0.4583860759493671
7,0.44025157232704404,0.46091772151898736
8,0.44025157232704404,0.4496835443037974
9,0.42138364779874216,0.4596518987341772
10,0.41509433962264153,0.4602848101265823
11,0.44654088050314467,0.43496835443037973
