model,domain,layer,seed,n_rows,split,accuracy,auc,separability_auc
gpt2-small,capital,5,0,152,group,0.782608695652174,0.8733459357277883,0.8733459357277883
gpt2-small,capital,8,0,152,group,0.782608695652174,0.9017013232514177,0.9017013232514177
gpt2-small,capital,10,0,152,group,0.7608695652173914,0.8431001890359168,0.8431001890359168
gpt2-small,capital,11,0,152,group,0.782608695652174,0.8298676748582231,0.8298676748582231
gpt2-small,capital,5,1,152,group,0.717391304347826,0.831758034026465,0.831758034026465
gpt2-small,capital,8,1,152,group,0.782608695652174,0.8865784499054821,0.8865784499054821
gpt2-small,capital,10,1,152,group,0.7608695652173914,0.8241965973534973,0.8241965973534973
gpt2-small,capital,11,1,152,group,0.717391304347826,0.8355387523629489,0.8355387523629489
gpt2-small,capital,5,2,152,group,0.7608695652173914,0.8922495274102079,0.8922495274102079
gpt2-small,capital,8,2,152,group,0.8043478260869565,0.9092627599243857,0.9092627599243857
gpt2-small,capital,10,2,152,group,0.8043478260869565,0.8998109640831757,0.8998109640831757
gpt2-small,capital,11,2,152,group,0.782608695652174,0.8846880907372402,0.8846880907372402
gpt2-small,capital,5,3,152,group,0.8695652173913043,0.9092627599243857,0.9092627599243857
gpt2-small,capital,8,3,152,group,0.8260869565217391,0.9092627599243857,0.9092627599243857
gpt2-small,capital,10,3,152,group,0.8260869565217391,0.888468809073724,0.888468809073724
gpt2-small,capital,11,3,152,group,0.6956521739130435,0.8355387523629489,0.8355387523629489
gpt2-small,capital,5,4,152,group,0.6956521739130435,0.8223062381852552,0.8223062381852552
gpt2-small,capital,8,4,152,group,0.717391304347826,0.831758034026465,0.831758034026465
gpt2-small,capital,10,4,152,group,0.7608695652173914,0.8374291115311909,0.8374291115311909
gpt2-small,capital,11,4,152,group,0.7608695652173914,0.7996219281663516,0.7996219281663516
gpt2-small,capital,5,42,152,group,0.8478260869565217,0.941398865784499,0.941398865784499
gpt2-small,capital,8,42,152,group,0.8260869565217391,0.9527410207939508,0.9527410207939508
gpt2-small,capital,10,42,152,group,0.8695652173913043,0.947069943289225,0.947069943289225
gpt2-small,capital,11,42,152,group,0.782608695652174,0.9017013232514177,0.9017013232514177
