model,domain,layer,seed,n_rows,split,accuracy,auc,separability_auc
gpt2-small,capital_balanced,4,0,152,group,0.7083333333333334,0.7447916666666667,0.7447916666666667
gpt2-small,capital_balanced,6,0,152,group,0.7916666666666666,0.8246527777777778,0.8246527777777778
gpt2-small,capital_balanced,8,0,152,group,0.7291666666666666,0.8246527777777778,0.8246527777777778
gpt2-small,capital_balanced,10,0,152,group,0.7708333333333334,0.795138888888889,0.795138888888889
gpt2-small,capital_balanced,11,0,152,group,0.7708333333333334,0.8072916666666666,0.8072916666666666
gpt2-small,capital_balanced,4,1,152,group,0.6041666666666666,0.6953125,0.6953125
gpt2-small,capital_balanced,6,1,152,group,0.7291666666666666,0.75,0.75
gpt2-small,capital_balanced,8,1,152,group,0.7916666666666666,0.7812500000000001,0.7812500000000001
gpt2-small,capital_balanced,10,1,152,group,0.75,0.7760416666666666,0.7760416666666666
gpt2-small,capital_balanced,11,1,152,group,0.6875,0.7430555555555556,0.7430555555555556
gpt2-small,capital_balanced,4,2,152,group,0.7083333333333334,0.7864583333333335,0.7864583333333335
gpt2-small,capital_balanced,6,2,152,group,0.8125,0.8072916666666666,0.8072916666666666
gpt2-small,capital_balanced,8,2,152,group,0.7291666666666666,0.8072916666666666,0.8072916666666666
gpt2-small,capital_balanced,10,2,152,group,0.7083333333333334,0.7829861111111112,0.7829861111111112
gpt2-small,capital_balanced,11,2,152,group,0.6458333333333334,0.7447916666666666,0.7447916666666666
gpt2-small,capital_balanced,4,3,152,group,0.6875,0.7864583333333334,0.7864583333333334
gpt2-small,capital_balanced,6,3,152,group,0.7083333333333334,0.8454861111111112,0.8454861111111112
gpt2-small,capital_balanced,8,3,152,group,0.7291666666666666,0.8072916666666667,0.8072916666666667
gpt2-small,capital_balanced,10,3,152,group,0.6875,0.7881944444444444,0.7881944444444444
gpt2-small,capital_balanced,11,3,152,group,0.7708333333333334,0.7621527777777778,0.7621527777777778
gpt2-small,capital_balanced,4,4,152,group,0.7291666666666666,0.7413194444444445,0.7413194444444445
gpt2-small,capital_balanced,6,4,152,group,0.7708333333333334,0.842013888888889,0.842013888888889
gpt2-small,capital_balanced,8,4,152,group,0.7916666666666666,0.8020833333333334,0.8020833333333334
gpt2-small,capital_balanced,10,4,152,group,0.75,0.7725694444444444,0.7725694444444444
gpt2-small,capital_balanced,11,4,152,group,0.7083333333333334,0.7586805555555556,0.7586805555555556
gpt2-small,capital_balanced,4,42,152,group,0.625,0.7586805555555556,0.7586805555555556
gpt2-small,capital_balanced,6,42,152,group,0.625,0.8090277777777778,0.8090277777777778
gpt2-small,capital_balanced,8,42,152,group,0.625,0.8020833333333334,0.8020833333333334
gpt2-small,capital_balanced,10,42,152,group,0.6666666666666666,0.7777777777777778,0.7777777777777778
gpt2-small,capital_balanced,11,42,152,group,0.7083333333333334,0.717013888888889,0.717013888888889
