domain,prompt,n_rows,layer,accuracy,auc,separability_auc
all,statement_is,528,0,0.475,0.48968750000000005,0.5103125
all,statement_is,528,1,0.5375,0.5332812499999999,0.5332812499999999
all,statement_is,528,2,0.5,0.5278124999999999,0.5278124999999999
all,statement_is,528,3,0.5125,0.54875,0.54875
all,statement_is,528,4,0.55,0.5798437500000001,0.5798437500000001
all,statement_is,528,5,0.55,0.6071874999999999,0.6071874999999999
all,statement_is,528,6,0.5375,0.6307812500000001,0.6307812500000001
all,statement_is,528,7,0.58125,0.6270312499999999,0.6270312499999999
all,statement_is,528,8,0.575,0.620625,0.620625
all,statement_is,528,9,0.58125,0.621328125,0.621328125
all,statement_is,528,10,0.5625,0.62890625,0.62890625
all,statement_is,528,11,0.59375,0.618515625,0.618515625
all,answer,528,0,0.4375,0.44171875,0.5582812500000001
all,answer,528,1,0.51875,0.51265625,0.51265625
all,answer,528,2,0.53125,0.53203125,0.53203125
all,answer,528,3,0.54375,0.54390625,0.54390625
all,answer,528,4,0.5375,0.58875,0.58875
all,answer,528,5,0.56875,0.5939062500000001,0.5939062500000001
all,answer,528,6,0.58125,0.6228125,0.6228125
all,answer,528,7,0.5875,0.6175,0.6175
all,answer,528,8,0.6,0.6259375,0.6259375
all,answer,528,9,0.575,0.62921875,0.62921875
all,answer,528,10,0.58125,0.6302343749999999,0.6302343749999999
all,answer,528,11,0.5625,0.6065625,0.6065625
all,question,528,0,0.43125,0.44890625,0.5510937499999999
all,question,528,1,0.525,0.5437500000000001,0.5437500000000001
all,question,528,2,0.56875,0.575,0.575
all,question,528,3,0.5625,0.55703125,0.55703125
all,question,528,4,0.56875,0.60421875,0.60421875
all,question,528,5,0.54375,0.6021875,0.6021875
all,question,528,6,0.59375,0.64578125,0.64578125
all,question,528,7,0.56875,0.646875,0.646875
all,question,528,8,0.5875,0.6534374999999999,0.6534374999999999
all,question,528,9,0.61875,0.64875,0.64875
all,question,528,10,0.56875,0.63109375,0.63109375
all,question,528,11,0.59375,0.616875,0.616875
capital,statement_is,152,0,0.391304347826087,0.33459357277882795,0.665406427221172
capital,statement_is,152,1,0.6739130434782609,0.6880907372400755,0.6880907372400755
capital,statement_is,152,2,0.6086956521739131,0.7013232514177694,0.7013232514177694
capital,statement_is,152,3,0.6956521739130435,0.7637051039697542,0.7637051039697542
capital,statement_is,152,4,0.782608695652174,0.8657844990548204,0.8657844990548204
capital,statement_is,152,5,0.8260869565217391,0.890359168241966,0.890359168241966
capital,statement_is,152,6,0.8043478260869565,0.9395085066162571,0.9395085066162571
capital,statement_is,152,7,0.8260869565217391,0.9357277882797732,0.9357277882797732
capital,statement_is,152,8,0.8260869565217391,0.8960302457466919,0.8960302457466919
capital,statement_is,152,9,0.8043478260869565,0.888468809073724,0.888468809073724
capital,statement_is,152,10,0.8478260869565217,0.892249527410208,0.892249527410208
capital,statement_is,152,11,0.8043478260869565,0.8601134215500945,0.8601134215500945
capital,answer,152,0,0.32608695652173914,0.27599243856332706,0.724007561436673
capital,answer,152,1,0.6086956521739131,0.6275992438563327,0.6275992438563327
capital,answer,152,2,0.6521739130434783,0.7693761814744802,0.7693761814744802
capital,answer,152,3,0.6739130434782609,0.771266540642722,0.771266540642722
capital,answer,152,4,0.8043478260869565,0.8941398865784499,0.8941398865784499
capital,answer,152,5,0.8478260869565217,0.941398865784499,0.941398865784499
capital,answer,152,6,0.8260869565217391,0.943289224952741,0.943289224952741
capital,answer,152,7,0.8478260869565217,0.9376181474480152,0.9376181474480152
capital,answer,152,8,0.8260869565217391,0.9527410207939508,0.9527410207939508
capital,answer,152,9,0.8043478260869565,0.9413988657844992,0.9413988657844992
capital,answer,152,10,0.8695652173913043,0.947069943289225,0.947069943289225
capital,answer,152,11,0.782608695652174,0.9017013232514177,0.9017013232514177
capital,question,152,0,0.3695652173913043,0.30812854442344045,0.6918714555765595
capital,question,152,1,0.6304347826086957,0.6502835538752363,0.6502835538752363
capital,question,152,2,0.717391304347826,0.7977315689981097,0.7977315689981097
capital,question,152,3,0.7391304347826086,0.8185255198487712,0.8185255198487712
capital,question,152,4,0.8478260869565217,0.8790170132325142,0.8790170132325142
capital,question,152,5,0.8478260869565217,0.8657844990548204,0.8657844990548204
capital,question,152,6,0.8043478260869565,0.9262759924385634,0.9262759924385634
capital,question,152,7,0.8043478260869565,0.9319470699432892,0.9319470699432892
capital,question,152,8,0.8043478260869565,0.9281663516068053,0.9281663516068053
capital,question,152,9,0.8260869565217391,0.9168241965973534,0.9168241965973534
capital,question,152,10,0.8260869565217391,0.9262759924385633,0.9262759924385633
capital,question,152,11,0.8695652173913043,0.888468809073724,0.888468809073724
continent,statement_is,86,0,0.6538461538461539,0.6213017751479291,0.6213017751479291
continent,statement_is,86,1,0.6923076923076923,0.6568047337278107,0.6568047337278107
continent,statement_is,86,2,0.5,0.5384615384615384,0.5384615384615384
continent,statement_is,86,3,0.5,0.6272189349112426,0.6272189349112426
continent,statement_is,86,4,0.6153846153846154,0.7455621301775148,0.7455621301775148
continent,statement_is,86,5,0.6153846153846154,0.7928994082840237,0.7928994082840237
continent,statement_is,86,6,0.6538461538461539,0.7692307692307692,0.7692307692307692
continent,statement_is,86,7,0.6153846153846154,0.7633136094674556,0.7633136094674556
continent,statement_is,86,8,0.6153846153846154,0.7396449704142012,0.7396449704142012
continent,statement_is,86,9,0.6538461538461539,0.7396449704142012,0.7396449704142012
continent,statement_is,86,10,0.6923076923076923,0.7573964497041421,0.7573964497041421
continent,statement_is,86,11,0.8076923076923077,0.846153846153846,0.846153846153846
continent,answer,86,0,0.6153846153846154,0.5621301775147929,0.5621301775147929
continent,answer,86,1,0.6153846153846154,0.6272189349112426,0.6272189349112426
continent,answer,86,2,0.5384615384615384,0.5680473372781065,0.5680473372781065
continent,answer,86,3,0.5,0.5976331360946745,0.5976331360946745
continent,answer,86,4,0.6538461538461539,0.7514792899408285,0.7514792899408285
continent,answer,86,5,0.6538461538461539,0.7869822485207101,0.7869822485207101
continent,answer,86,6,0.6923076923076923,0.7692307692307693,0.7692307692307693
continent,answer,86,7,0.6153846153846154,0.78698224852071,0.78698224852071
continent,answer,86,8,0.6538461538461539,0.7218934911242604,0.7218934911242604
continent,answer,86,9,0.6923076923076923,0.7278106508875739,0.7278106508875739
continent,answer,86,10,0.6923076923076923,0.757396449704142,0.757396449704142
continent,answer,86,11,0.7307692307692307,0.7810650887573964,0.7810650887573964
continent,question,86,0,0.4230769230769231,0.4970414201183432,0.5029585798816568
continent,question,86,1,0.6538461538461539,0.6923076923076923,0.6923076923076923
continent,question,86,2,0.5769230769230769,0.650887573964497,0.650887573964497
continent,question,86,3,0.6153846153846154,0.6745562130177515,0.6745562130177515
continent,question,86,4,0.6923076923076923,0.7218934911242604,0.7218934911242604
continent,question,86,5,0.6153846153846154,0.6745562130177515,0.6745562130177515
continent,question,86,6,0.5769230769230769,0.7278106508875739,0.7278106508875739
continent,question,86,7,0.5769230769230769,0.7218934911242604,0.7218934911242604
continent,question,86,8,0.5384615384615384,0.6923076923076923,0.6923076923076923
continent,question,86,9,0.6923076923076923,0.757396449704142,0.757396449704142
continent,question,86,10,0.6153846153846154,0.6863905325443788,0.6863905325443788
continent,question,86,11,0.5769230769230769,0.6923076923076923,0.6923076923076923
element_symbol,statement_is,80,0,0.25,0.25,0.75
element_symbol,statement_is,80,1,0.2916666666666667,0.2638888888888889,0.7361111111111112
element_symbol,statement_is,80,2,0.3333333333333333,0.2222222222222222,0.7777777777777778
element_symbol,statement_is,80,3,0.2916666666666667,0.20833333333333334,0.7916666666666666
element_symbol,statement_is,80,4,0.4583333333333333,0.4375,0.5625
element_symbol,statement_is,80,5,0.375,0.3402777777777778,0.6597222222222222
element_symbol,statement_is,80,6,0.5,0.5208333333333334,0.5208333333333334
element_symbol,statement_is,80,7,0.4583333333333333,0.5069444444444444,0.5069444444444444
element_symbol,statement_is,80,8,0.4583333333333333,0.3888888888888889,0.6111111111111112
element_symbol,statement_is,80,9,0.4583333333333333,0.4097222222222222,0.5902777777777778
element_symbol,statement_is,80,10,0.5,0.42361111111111116,0.5763888888888888
element_symbol,statement_is,80,11,0.4583333333333333,0.41666666666666663,0.5833333333333334
element_symbol,answer,80,0,0.25,0.25,0.75
element_symbol,answer,80,1,0.3333333333333333,0.3125,0.6875
