seed,heldout_blocks,heldout_countries,learned_delta,random_mean_delta,random_q975_delta,permutation_mean_delta,permutation_q975_delta,learned_minus_random_mean,learned_minus_permutation_mean,learned_gt_all_random,learned_gt_all_permutation,baseline_pairwise_accuracy,learned_pairwise_accuracy,pairwise_accuracy_change,learned_sign_flips,wrong_to_correct_flips,correct_to_wrong_flips,learned_delta_std,learned_delta_min,learned_delta_max
0,12,24,0.1101735619382143,0.0116528395706442,0.09019327865480496,-0.04327882525628361,-0.0022832367037760215,0.0985207223675701,0.1534523871944979,1,1,0.7916666666666666,0.7916666666666666,0.0,0,0,0,,,
1,12,24,0.09638528563435662,-0.024692971897170797,0.047577656930819875,0.01050262627006001,0.04957784300574806,0.12107825753152743,0.08588265936429662,1,1,0.6666666666666666,0.6666666666666666,0.0,0,0,0,,,
2,12,24,0.11901247909111896,-0.020536535548016134,0.0362288666832556,0.011247403876117869,0.06754415744761398,0.1395490146391351,0.10776507521500109,1,1,0.7083333333333334,0.75,0.04166666666666663,1,1,0,,,
3,12,24,0.1499111368620005,-0.005936358917622564,0.06404921969492035,-0.007022352191254163,0.04017446521037427,0.15584749577962306,0.15693348905325466,1,1,0.8333333333333334,0.8333333333333334,0.0,0,0,0,,,
4,12,24,0.14767878164833148,0.01260998874433023,0.058127489090598485,0.012176850654860693,0.05155488374824928,0.13506879290400126,0.1355019309934708,1,1,0.75,0.7916666666666666,0.04166666666666663,1,1,0,,,
5,12,24,0.09252227735577329,-0.012978975646094088,0.06042703116148436,-0.0317630354899691,-0.011994016679459221,0.10550125300186737,0.12428531284574239,1,1,0.625,0.6666666666666666,0.04166666666666663,1,1,0,,,
6,12,24,0.0845823136953186,-0.008424889423962054,0.046333198490023667,-0.012713515634734213,0.02221002303620679,0.09300720311928065,0.09729582933005282,1,1,0.5833333333333334,0.625,0.04166666666666663,1,1,0,,,
7,12,24,0.12492914912167585,-0.018683120321951345,0.046570520748834644,0.03536589109025907,0.1038439910592449,0.1436122694436272,0.08956325803141679,1,1,0.7083333333333334,0.7083333333333334,0.0,0,0,0,,,
8,12,24,0.10185564557299982,-0.0030488900415238203,0.06024177345626881,0.00956288696703164,0.03651175241332963,0.10490453561452365,0.09229275860596818,1,1,0.5833333333333334,0.625,0.04166666666666663,1,1,0,,,
9,12,24,0.13724126313035315,-0.012060758390305465,0.08922843858136226,-0.013218399150015731,0.07835901079352572,0.1493020215206586,0.1504596622803689,1,1,0.75,0.7916666666666666,0.04166666666666663,1,1,0,,,
aggregate,12,24,0.11642918940501426,-0.008209967187167185,0.05989774734923729,-0.002914046886392754,0.04354988733310573,0.12463915659218146,0.11934323629140701,10,10,0.7,0.7250000000000001,0.024999999999999977,6,6,0,0.0232108356013486,0.0845823136953186,0.1499111368620005
