direction_type,layer,seed,alpha,split,pair_id,country,correct_capital,false_capital,correct_total_logprob,false_total_logprob,correct_avg_token_logprob,false_avg_token_logprob,correct_completion_tokens,false_completion_tokens,total_margin,avg_token_margin,baseline_total_margin,baseline_avg_token_margin,delta_total_margin,observed_delta_avg_token_margin,prefers_correct_total,prefers_correct_avg_token,layer_projection,seed_projection,correct_capital_projection,false_capital_projection,correct_completion_tokens_projection,false_completion_tokens_projection,correct_unembedding_projection_avg,false_unembedding_projection_avg,unembedding_projection_margin,projection_note,predicted_delta_avg_token_margin,projection_residual_observed_minus_predicted
learned_probe,6,42,-4.0,train,balanced_capital_afghanistan_kazakhstan,Afghanistan,Kabul,Astana,-6.7973222732543945,-12.7704499065876,-6.7973222732543945,-6.3852249532938,1,2,5.973127633333206,-0.4120973199605942,6.006583213806152,-0.2402784824371338,-0.0334555804729461,-0.1718188375234604,1,0,6,42,Kabul,Astana,1,2,0.07484317570924759,0.07047523558139801,0.004367940127849579,static W_U projection of the steering direction; ignores final layernorm and downstream layers,-0.017471760511398315,-0.15434707701206207
learned_probe,6,42,-4.0,train,balanced_capital_argentina_chile,Argentina,Buenos Aires,Santiago,-8.583600040146848,-9.661018371582031,-4.291800020073424,-9.661018371582031,2,1,1.077418331435183,5.369218351508607,1.100161436595954,5.134070815343875,-0.0227431051607709,0.2351475361647317,1,1,6,42,Buenos Aires,Santiago,2,1,-0.13441938161849976,-0.07415501773357391,-0.06026436388492584,static W_U projection of the steering direction; ignores final layernorm and downstream layers,0.24105745553970337,-0.005909919374971678
learned_probe,6,42,-4.0,train,balanced_capital_australia_new_zealand,Australia,Canberra,Wellington,-7.397500038146973,-10.224410057067873,-7.397500038146973,-10.224410057067873,1,1,2.8269100189208984,2.8269100189208984,2.878045082092285,2.878045082092285,-0.0511350631713867,-0.0511350631713867,1,1,6,42,Canberra,Wellington,1,1,-0.14484786987304688,0.05707215890288353,-0.2019200287759304,static W_U projection of the steering direction; ignores final layernorm and downstream layers,0.8076801151037216,-0.8588151782751083
learned_probe,6,42,-4.0,test,balanced_capital_belgium_austria,Austria,Vienna,Brussels,-8.15373706817627,-9.703892707824709,-8.15373706817627,-9.703892707824709,1,1,1.5501556396484375,1.5501556396484375,1.7829456329345703,1.7829456329345703,-0.2327899932861328,-0.2327899932861328,1,1,6,42,Vienna,Brussels,1,1,-0.26365992426872253,0.12187276780605316,-0.3855326920747757,static W_U projection of the steering direction; ignores final layernorm and downstream layers,1.5421307682991028,-1.7749207615852356
learned_probe,6,42,-4.0,train,balanced_capital_bangladesh_sri_lanka,Bangladesh,Dhaka,Sri Jayawardenepura Kotte,-8.031305762007833,-55.90870428085327,-4.015652881003916,-6.988588035106659,2,8,47.87739851884544,2.9729351541027427,48.05881440639496,3.1749969720840454,-0.1814158875495195,-0.2020618179813027,1,1,6,42,Dhaka,Sri Jayawardenepura Kotte,2,8,-0.004575839266180992,-0.04192403331398964,0.03734819404780865,static W_U projection of the steering direction; ignores final layernorm and downstream layers,-0.1493927761912346,-0.05266904179006812
learned_probe,6,42,-4.0,test,balanced_capital_belgium_austria,Belgium,Brussels,Vienna,-7.299860000610352,-10.040445327758787,-7.299860000610352,-10.040445327758787,1,1,2.740585327148437,2.740585327148437,2.898201465606689,2.898201465606689,-0.1576161384582519,-0.1576161384582519,1,1,6,42,Brussels,Vienna,1,1,0.12187276780605316,-0.26365992426872253,0.3855326920747757,static W_U projection of the steering direction; ignores final layernorm and downstream layers,-1.5421307682991028,1.3845146298408508
learned_probe,6,42,-4.0,test,balanced_capital_paraguay_bolivia,Bolivia,Sucre,Asuncion,-16.90463411808014,-13.400686159729958,-8.45231705904007,-4.4668953865766525,2,3,-3.5039479583501816,-3.985421672463417,-3.4207017309963703,-3.8808051111797495,-0.0832462273538112,-0.1046165612836675,0,0,6,42,Sucre,Asuncion,2,3,-0.1042092889547348,-0.07197905331850052,-0.03223023563623428,static W_U projection of the steering direction; ignores final layernorm and downstream layers,0.12892094254493713,-0.23353750382860464
learned_probe,6,42,-4.0,train,balanced_capital_mexico_brazil,Brazil,Brasilia,Mexico City,-8.929327934980392,-8.25273472070694,-4.464663967490196,-4.12636736035347,2,2,-0.6765932142734528,-0.3382966071367264,-0.2645282745361328,-0.1322641372680664,-0.4120649397373199,-0.2060324698686599,0,0,6,42,Brasilia,Mexico City,2,2,-0.012044480070471764,0.08359157294034958,-0.09563605301082134,static W_U projection of the steering direction; ignores final layernorm and downstream layers,0.38254421204328537,-0.5885766819119452
learned_probe,6,42,-4.0,test,balanced_capital_myanmar_cambodia,Cambodia,Phnom Penh,Naypyidaw,-8.886890322522959,-18.93054836988449,-2.22172258063074,-4.732637092471123,4,4,10.043658047361532,2.510914511840383,10.5641343597963,2.6410335899490747,-0.5204763124347664,-0.1301190781086916,1,1,6,42,Phnom Penh,Naypyidaw,4,4,-0.15999746322631836,0.019450336694717407,-0.17944779992103577,static W_U projection of the steering direction; ignores final layernorm and downstream layers,0.7177911996841431,-0.8479102777928347
learned_probe,6,42,-4.0,train,balanced_capital_canada_united_states,Canada,Ottawa,"Washington, D.C.",-7.824681282043457,-11.616922838031314,-7.824681282043457,-1.9361538063385524,1,6,3.792241555987857,-5.888527475704905,3.935149531695061,-5.560868842546673,-0.1429079757072031,-0.327658633158232,1,0,6,42,Ottawa,"Washington, D.C.",1,6,-0.06606627255678177,-0.10536632686853409,0.03930005431175232,static W_U projection of the steering direction; ignores final layernorm and downstream layers,-0.15720021724700928,-0.17045841591122274
learned_probe,6,42,-4.0,train,balanced_capital_argentina_chile,Chile,Santiago,Buenos Aires,-7.777585029602051,-10.622683404071722,-7.777585029602051,-5.311341702035861,1,2,2.8450983744696714,-2.4662433275661897,3.045365314173978,-2.089674959337572,-0.2002669397043064,-0.376568368228618,1,0,6,42,Santiago,Buenos Aires,1,2,-0.07415501773357391,-0.13441938161849976,0.06026436388492584,static W_U projection of the steering direction; ignores final layernorm and downstream layers,-0.24105745553970337,-0.13551091268891463
learned_probe,6,42,-4.0,train,balanced_capital_india_china,China,Beijing,New Delhi,-5.864417552947998,-10.122331023216248,-5.864417552947998,-5.061165511608124,1,2,4.2579134702682495,-0.8032520413398743,4.296523332595825,-0.640609622001648,-0.0386098623275756,-0.1626424193382263,1,0,6,42,Beijing,New Delhi,1,2,0.08028274029493332,0.06987158209085464,0.010411158204078674,static W_U projection of the steering direction; ignores final layernorm and downstream layers,-0.0416446328163147,-0.1209977865219116
learned_probe,6,42,-4.0,train,balanced_capital_peru_colombia,Colombia,Bogota,Lima,-8.617028832435608,-10.563892364501951,-4.308514416217804,-10.563892364501951,2,1,1.9468635320663448,6.255377948284149,1.922817051410675,6.025517374277115,0.0240464806556701,0.2298605740070343,1,1,6,42,Bogota,Lima,2,1,-0.14883694052696228,-0.11305876076221466,-0.03577817976474762,static W_U projection of the steering direction; ignores final layernorm and downstream layers,0.14311271905899048,0.08674785494804382
learned_probe,6,42,-4.0,test,balanced_capital_costa_rica_panama,Costa Rica,San Jose,Panama City,-10.569490671157835,-9.744728446006777,-5.284745335578919,-4.872364223003388,2,2,-0.824762225151062,-0.412381112575531,-0.7697348594665527,-0.3848674297332763,-0.0550273656845092,-0.0275136828422546,0,0,6,42,San Jose,Panama City,2,2,-0.01336752250790596,0.06280863285064697,-0.07617615535855293,static W_U projection of the steering direction; ignores final layernorm and downstream layers,0.30470462143421173,-0.3322183042764663
learned_probe,6,42,-4.0,train,balanced_capital_laos_cuba,Cuba,Havana,Vientiane,-7.595182418823242,-12.62800270318985,-7.595182418823242,-4.209334234396617,1,3,5.032820284366608,-3.3858481844266253,4.876080572605133,-3.2042821049690247,0.1567397117614746,-0.1815660794576006,1,0,6,42,Havana,Vientiane,1,3,-0.17104901373386383,-0.10101866722106934,-0.0700303465127945,static W_U projection of the steering direction; ignores final layernorm and downstream layers,0.280121386051178,-0.4616874655087786
learned_probe,6,42,-4.0,train,balanced_capital_czech_republic_hungary,Czech Republic,Prague,Budapest,-7.831150054931641,-7.690739631652832,-7.831150054931641,-7.690739631652832,1,1,-0.1404104232788086,-0.1404104232788086,-0.0111770629882812,-0.0111770629882812,-0.1292333602905273,-0.1292333602905273,0,0,6,42,Prague,Budapest,1,1,-0.058353085070848465,-0.06528834253549576,0.006935257464647293,static W_U projection of the steering direction; ignores final layernorm and downstream layers,-0.027741029858589172,-0.10149233043193812
learned_probe,6,42,-4.0,test,balanced_capital_denmark_ireland,Denmark,Copenhagen,Dublin,-7.161490440368652,-9.743152618408203,-7.161490440368652,-9.743152618408203,1,1,2.581662178039551,2.581662178039551,2.865789890289306,2.865789890289306,-0.2841277122497558,-0.2841277122497558,1,1,6,42,Copenhagen,Dublin,1,1,0.06747929006814957,0.022937938570976257,0.04454135149717331,static W_U projection of the steering direction; ignores final layernorm and downstream layers,-0.17816540598869324,-0.10596230626106257
learned_probe,6,42,-4.0,train,balanced_capital_jamaica_dominican_republic,Dominican Republic,Santo Domingo,Kingston,-10.72443181159906,-14.264734268188477,-2.144886362319812,-14.264734268188477,5,1,3.540302456589416,12.119847905868664,3.6271372872870415,11.878175565367563,-0.0868348306976258,0.2416723405010987,1,1,6,42,Santo Domingo,Kingston,5,1,-0.060012221336364746,0.2364688366651535,-0.29648105800151825,static W_U projection of the steering direction; ignores final layernorm and downstream layers,1.185924232006073,-0.9442518915049742
learned_probe,6,42,-4.0,train,balanced_capital_ecuador_saudi_arabia,Ecuador,Quito,Riyadh,-11.731099598109722,-12.328405380249023,-5.865549799054861,-12.328405380249023,2,1,0.5973057821393013,6.462855581194162,0.7931522689759731,6.500711647793651,-0.1958464868366718,-0.0378560665994882,1,1,6,42,Quito,Riyadh,2,1,-0.3068864345550537,0.16800788044929504,-0.47489431500434875,static W_U projection of the steering direction; ignores final layernorm and downstream layers,1.899577260017395,-1.9374333266168833
learned_probe,6,42,-4.0,train,balanced_capital_turkey_egypt,Egypt,Cairo,Ankara,-5.823079109191895,-10.269670486450195,-5.823079109191895,-10.269670486450195,1,1,4.446591377258301,4.446591377258301,4.6851582527160645,4.6851582527160645,-0.2385668754577636,-0.2385668754577636,1,1,6,42,Cairo,Ankara,1,1,-0.0544344037771225,-0.013316430151462555,-0.04111797362565994,static W_U projection of the steering direction; ignores final layernorm and downstream layers,0.16447189450263977,-0.40303876996040333
