split,direction_type,alpha,countries,blocks,mean_observed_delta_avg_token_margin,mean_predicted_delta_avg_token_margin,mean_abs_observed_delta_avg_token_margin,mean_abs_predicted_delta_avg_token_margin,std_observed_delta_avg_token_margin,std_predicted_delta_avg_token_margin,mean_residual_observed_minus_predicted,mean_abs_residual,corr_predicted_observed,corr_squared_predicted_observed,regression_slope_observed_on_predicted
test,label_permutation,-4.0,24,12,0.027438129059156435,0.0,0.041474922158093,0.463840721330295,0.04537035095216378,0.5970454845912769,0.027438129059156435,0.45316185569013206,0.3530947146958911,0.12467587754617274,0.026832178684130993
test,label_permutation,-2.0,24,12,0.013568415294839181,0.0,0.020849268746140546,0.2319203606651475,0.022903140656300308,0.29852274229563847,0.013568415294839181,0.2264853150127161,0.35992569981724576,0.1295465093889341,0.027614073438223738
test,label_permutation,-1.0,24,12,0.006738143933633492,0.0,0.010445296595417356,0.11596018033257376,0.011504673266457927,0.14926137114781923,0.006738143933633489,0.11321858067821418,0.3633592185761082,0.13202992172423997,0.028006771316160924
test,label_permutation,0.0,24,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
test,label_permutation,1.0,24,12,-0.006626031480467017,0.0,0.010470660167200324,0.11596018033257376,0.011604034577350104,0.14926137114781923,-0.0066260314804670204,0.11316799917555935,0.3703531077249777,0.13716142440154894,0.028792381008034836
test,label_permutation,2.0,24,12,-0.013123981542053645,0.0,0.0209534062199913,0.2319203606651475,0.023306774437193076,0.29852274229563847,-0.01312398154205365,0.22628706539262064,0.37373627645723495,0.13967880434011876,0.029178973191123846
test,label_permutation,4.0,24,12,-0.025662137607421046,0.0,0.04189780762538294,0.463840721330295,0.04699288881813482,0.5970454845912769,-0.02566213760742106,0.4523640975868375,0.3806357712633207,0.144883590365223,0.029959483725812544
test,learned_probe,-4.0,24,12,-0.12626469583412925,0.0,0.14432497376193013,0.6214656961771349,0.13105147674164844,0.769927383923383,-0.12626469583412925,0.6702794096754209,-0.22670976973524956,0.051397319693409875,-0.038588899077942246
test,learned_probe,-2.0,24,12,-0.06399604312967609,0.0,0.07333628648233965,0.31073284808856744,0.06601000963353201,0.3849636919616915,-0.06399604312967609,0.33498542545959126,-0.21762577216257842,0.047360976709358495,-0.03731645247829288
test,learned_probe,-1.0,24,12,-0.032214404801249534,0.0,0.0369537109702213,0.15536642404428372,0.033123368697994024,0.19248184598084575,-0.032214404801249534,0.16744718234308112,-0.21288870841550508,0.04532160217082194,-0.03663509742725678
